rank,feature,w1_score,w1_normalized,std
1,f4_fib_retracement,0.4888327208678183,0.4739447111544424,1.031412967299733
2,f2_sar_dist,0.4317599881100412,0.428229619232481,1.008244102507173
3,f3_atr_stop_dist,0.4223884524480725,0.4095352157020288,1.0313849365164132
4,f1_dist_long_ma,0.3881873239050725,0.3096511468684431,1.253627922359984
5,f3_mae,0.3791066372092349,0.3751453301266669,1.0105593932922754
