timestamp,pflow_consec_neg,momentum_signflip20,sentiment_mean20,cycle_skew,pflow_mean50,cycle_flow_cross,fflow_mean50,momentum_mean20,sentiment_breadth_cross,fflow_neg_pct,composite_health,volatility,agreement,health_signal_final,market_trend_regime,vnindex_close
2022-11-01 00:00:00+00:00,,,,,,,,,,,0,0.34020401866052835,0.0,0.0,0,1033.75
2022-11-02 00:00:00+00:00,,,,,,,,,,,0,0.29536953964720103,0.0,0.0,0,1023.19
2022-11-03 00:00:00+00:00,,,,,,,,,,,0,0.2775404611501476,0.0,0.0,0,1019.81
2022-11-04 00:00:00+00:00,,,,,,,,,,,0,0.25542098033516863,0.0,0.0,0,997.15
2022-11-07 00:00:00+00:00,,,,,,,,,,,0,0.3800815662250963,0.0,0.0,0,975.19
2022-11-08 00:00:00+00:00,,,,,,,,,,,0,0.4998611735782173,0.0,0.0,0,981.65
2022-11-09 00:00:00+00:00,,,,,,,,,,,0,0.4159790033003758,0.0,0.0,0,985.59
2022-11-10 00:00:00+00:00,,,,,,,,,,,0,0.3548446252108294,0.0,0.0,0,947.24
2022-11-11 00:00:00+00:00,,,,,,,,,,,0,0.542984094448304,0.0,0.0,0,954.53
2022-11-14 00:00:00+00:00,,,,,,,,,,,0,0.48972433730294695,0.0,0.0,0,941.04
2022-11-15 00:00:00+00:00,,,,,,,,,,,0,0.536252804251215,0.0,0.0,0,911.9
2022-11-16 00:00:00+00:00,,,,,,,,,,,0,0.6423229606631602,0.0,0.0,1,942.9
2022-11-17 00:00:00+00:00,,,,,,,,,,,0,0.6122117892248943,0.0,0.0,1,969.26
2022-11-18 00:00:00+00:00,,,,,,,,,,,0,0.5548882781381469,0.0,0.0,1,969.33
2022-11-21 00:00:00+00:00,,,,,,,,,,,0,0.47973273690738544,0.0,0.0,1,960.65
2022-11-22 00:00:00+00:00,,,,,,,,,,,0,0.4102961294450045,0.0,0.0,1,952.12
2022-11-23 00:00:00+00:00,,,,,,,,,,,0,0.3480353737758577,0.0,0.0,1,946.0
2022-11-24 00:00:00+00:00,,,,,,,,,,,0,0.3559360387454526,0.0,0.0,1,947.71
2022-11-25 00:00:00+00:00,,,,,,,,,,,0,0.30245447191684477,0.0,0.0,1,971.46
2022-11-28 00:00:00+00:00,,,,,,,,,,,0,0.32658314082042517,0.0,0.0,1,1005.69
2022-11-29 00:00:00+00:00,,,,,,,,,,,0,0.3712137073304728,0.0,0.0,1,1032.16
2022-11-30 00:00:00+00:00,,,,,,,,,,,0,0.3663679062811718,0.0,0.0,1,1048.42
2022-12-01 00:00:00+00:00,,,,,,,,,,,0,0.36334594439851614,0.0,0.0,1,1036.28
2022-12-02 00:00:00+00:00,,,,,,,,,,,0,0.31131090367004094,0.0,0.0,1,1080.01
2022-12-05 00:00:00+00:00,,,,,,,,,,,0,0.34801701700066706,0.0,0.0,1,1093.67
2022-12-06 00:00:00+00:00,,,,,,,,,,,0,0.32508878286705273,0.0,0.0,0,1048.6899
2022-12-07 00:00:00+00:00,,,,,,,,,,,0,0.43345578561281545,0.0,0.0,0,1041.02
2022-12-08 00:00:00+00:00,,,,,,,,,,,0,0.430513758980942,0.0,0.0,0,1050.53
2022-12-09 00:00:00+00:00,,,,,,,,,,,0,0.4044147714542,0.0,0.0,0,1051.8101
2022-12-12 00:00:00+00:00,,,,,,,,,,,0,0.35489481424031155,0.0,0.0,0,1032.0699
2022-12-13 00:00:00+00:00,,,,,,,,,,,0,0.3435309560542095,0.0,0.0,0,1047.45
2022-12-14 00:00:00+00:00,,,,,,,,,,,0,0.3235707929166496,0.0,0.0,0,1050.4301
2022-12-15 00:00:00+00:00,,,,,,,,,,,0,0.2805975480067105,0.0,0.0,0,1055.3199
2022-12-16 00:00:00+00:00,,,,,,,,,,,0,0.2418840448104889,0.0,0.0,0,1052.48
