feature,daily_std,sign_flip_pct,autocorr_1,noise_flag
pflow_consec_neg,0.06049672495968594,9.645909645909647,0.9988501698865514,OK
momentum_signflip20,0.30432435979500394,11.5995115995116,0.9296839784756256,⚠ NOISY
sentiment_mean20,0.041956993953724535,16.36141636141636,0.9996170816182454,⚠ NOISY
cycle_skew,0.3878048087610358,26.00732600732601,0.9259256262734299,⚠ NOISY
pflow_mean50,0.046765925973299434,17.216117216117215,0.9993544569314864,⚠ NOISY
cycle_flow_cross,0.3748694723554492,26.129426129426133,0.9206730464205554,⚠ NOISY
fflow_mean50,0.07067603076190167,17.094017094017094,0.9988044990327828,⚠ NOISY
momentum_mean20,0.12327891527147916,18.315018315018314,0.9938887803045204,⚠ NOISY
sentiment_breadth_cross,0.4692695187939438,22.832722832722833,0.9223426101874912,⚠ NOISY
fflow_neg_pct,0.06128955023396996,9.768009768009769,0.9991552701936435,OK
