feature,w1_score,w1_normalized,status,std
market_cycle,0.393842214043606,0.365628239321067,Kept,1.0771657429276507
market_trend,0.39271271506707084,0.3605844252797482,Kept,1.0891006031732982
market_breadth,0.37670145532425103,0.29831043921328815,Kept,1.2627833485066686
market_volatility,0.2630609528879473,0.26038605100547796,Kept,1.010272830945207
