rank,feature,w1_score,w1_normalized,std
1,market_cycle,0.393842214043606,0.365628239321067,1.0771657429276509
2,market_trend,0.3927127150670708,0.3605844252797482,1.0891006031732982
3,market_breadth,0.376701455324251,0.2983104392132881,1.2627833485066686
4,market_volatility,0.2630609528879473,0.2603860510054779,1.010272830945207
