timestamp,market_trend,market_breadth,market_cycle,market_volatility,y_binary,prob_lr,prob_xgb,prob_lgb
2020-01-02,-0.8630262222623963,-1.1128392848960813,0.6411120667991034,0.760638616523671,0,0.5675793214812079,0.840572714805603,0.7996445772205049
2020-01-03,-0.3903241651097093,-1.3962294635145842,1.052131948226502,0.7718533531068619,0,0.7176686645067198,0.8278203010559082,0.8225610429228256
2020-01-06,-0.8685050864101709,-1.7946380950005312,0.7297353121035443,0.7899904178078475,0,0.638087883885313,0.48163020610809326,0.4583052831108164
2020-01-07,-1.5950077563899523,-2.568927360907853,0.7996333340892633,-0.3961041909326704,0,0.5855293507545517,0.4113178253173828,0.3751810057221868
2020-01-08,-1.2748221604721095,-2.3832122423588067,0.7565151978389622,-2.325893219122442,0,0.6186874870298247,0.433224618434906,0.4059573646423099
2020-01-09,-2.909157002199116,-3.0,0.3015438413743254,-1.698242778435585,0,0.32674112653424964,0.3179214894771576,0.21295012139539174
2020-01-10,-2.0157586387093893,-3.0,1.1480311584140743,-3.0,0,0.5875950997627696,0.36340683698654175,0.2911295838812322
2020-01-13,-1.8030793669556908,-2.2933197225200983,0.8945698074942005,-3.0,0,0.5305728034923707,0.3832132816314697,0.3047128801960969
2020-01-14,-2.134253778463019,-2.6443840529429505,0.2628770654960098,-3.0,0,0.42440716686102414,0.267360121011734,0.18170797333991281
2020-01-15,-1.6366555078510596,-2.4362264119715373,0.6880279871305343,-3.0,0,0.5492593099254733,0.3768731653690338,0.3047128801960969
2020-01-16,-1.569777704336601,-2.237510991702818,0.2788787677319267,-3.0,0,0.49270922214246093,0.27266407012939453,0.18170797333991281
2020-01-17,-1.2035515133865915,-2.230027455697388,0.6409043957397726,-2.42689511791846,0,0.6039749716540578,0.427469402551651,0.4059573646423099
2020-01-20,-1.2196015107076412,-2.405346926059166,0.9701035190677358,-1.7266761735953198,0,0.6551316438556873,0.41909897327423096,0.4155691831143413
2020-01-21,-1.284731349473072,-2.2163029513597503,0.839931162648571,-1.2324137445722008,0,0.6131084888552883,0.44143950939178467,0.4291734962651767
2020-01-22,-0.5307851579411585,-1.4983250244160633,1.2721182483826237,-0.9259377274551468,0,0.7246277908817024,0.5153243541717529,0.4717495317068119
2020-01-30,0.2800551158028023,-1.332390919146069,1.973929556380246,-0.9987556841610156,0,0.8647318940739358,0.7892000675201416,0.7177861913757513
2020-01-31,-2.427366556654402,-2.468953987572984,-0.3698034564302913,-1.1655496247619257,0,0.2905612314125643,0.19852836430072784,0.22654507904924379
2020-02-03,-3.0,-3.0,-2.042947577042645,-3.0,0,0.12398329581735876,0.3804773986339569,0.34685295731568655
2020-02-04,-3.0,-3.0,-2.5738159784381747,-3.0,0,0.09818092262284603,0.3804773986339569,0.34685295731568655
2020-02-05,-3.0,-3.0,-2.5738159784381747,-3.0,0,0.09818092262284603,0.3804773986339569,0.34685295731568655
2020-02-06,-3.0,-3.0,-2.5738159784381747,-3.0,0,0.09818092262284603,0.3804773986339569,0.34685295731568655
2020-02-07,-3.0,-2.785197344139643,-2.5738159784381747,-3.0,0,0.08018482553744972,0.2794444262981415,0.1644117796352131
2020-02-10,-2.8229460953260803,-2.898575809170813,-2.5738159784381747,-3.0,0,0.09504397050816803,0.2176976501941681,0.1644117796352131
2020-02-11,-3.0,-3.0,-2.50312028995169,-3.0,0,0.0874749700658674,0.2176976501941681,0.1644117796352131
2020-02-12,-2.4206835046820663,-3.0,-2.357848206656004,-3.0,0,0.13931298450811241,0.2176976501941681,0.19663840142470693
2020-02-13,-1.4895694882156685,-2.421836135840931,-2.119391048596577,-3.0,0,0.23550869034559102,0.28472059965133667,0.21916929232309348
2020-02-14,-1.1809106753000846,-2.5252600661140248,-1.4140252942544431,-3.0,0,0.3365731751345992,0.5259037613868713,0.28190830041576936
2020-02-17,-1.077673613871382,-2.319621404232858,-0.3332315118893413,-2.708181074989143,0,0.42206605369012684,0.43702274560928345,0.2900761885454732
2020-02-18,-1.1764396505081414,-2.4062174072647293,0.496919809653737,-2.0750859730760447,0,0.4870826315511236,0.33866387605667114,0.25463646260427053
2020-02-19,-0.9661251781743988,-2.345553848471017,0.7028656941706121,-1.797337206636042,0,0.5482946180225775,0.30615314841270447,0.35129801572930563
2020-02-20,-0.7332063217549367,-2.2851249345750744,0.07851218376238,-1.3278723245317692,0,0.5588455553747554,0.5074133276939392,0.4724880033604556
2020-02-21,-0.144426685601807,-1.5482704982050648,0.3774069796923841,-0.9517619514353982,0,0.6458703974933953,0.598337709903717,0.6540717277249642
2020-02-24,-0.5473743493152985,-2.46161174724897,1.4138446329206578,-0.8879639179276088,0,0.7094707951981828,0.4145319163799286,0.36843395917932736
2020-02-25,-2.973252727436877,-3.0,0.5077004884486928,-1.136821093018865,0,0.2261721833869407,0.10493689030408859,0.12540321617510033
2020-02-26,-2.270957291239484,-2.65380194675393,1.091234645966093,-3.0,0,0.30880413417913083,0.12140649557113647,0.09472894919701709
2020-02-27,-2.773594307627971,-2.566931494101232,-0.4940549087460021,-3.0,0,0.15215119648535283,0.1012997031211853,0.11746298629419008
2020-02-28,-2.1699722651392683,-2.7165517959731584,-0.2341108539090028,-3.0,0,0.25190953262166343,0.16658583283424377,0.13989559296554133
2020-03-02,-2.9841933842889525,-2.7327983600455177,-1.0294857104957873,-3.0,0,0.12001059383563767,0.32125478982925415,0.1677186796255807
2020-03-03,-2.6903105695385574,-2.743428068296485,-0.3514085135882864,-3.0,0,0.17569049421950508,0.1260353922843933,0.11562992731372364
