model,precision,recall,accuracy,f1_score,eval_start,window_years,forecast_horizon_days,hysteresis_buffer,min_hold_days
Logistic Regression (Rolling),0.7928026172300982,0.6645338208409507,0.6347540983606558,0.7230233714569866,2020-01-01,5,1,0.05,5
XGBoost (Rolling),0.7771295215869312,0.6087751371115173,0.5940983606557377,0.6827268067657611,2020-01-01,5,1,0.05,5
LightGBM (Rolling),0.8050541516245487,0.6115173674588665,0.6150819672131147,0.695064935064935,2020-01-01,5,1,0.05,5
