timestamp,vnindex_close,composite_health,health_signal,volatility,agreement,f4_fib_retracement,f2_sar_dist,f3_atr_stop_dist,f1_dist_long_ma,f3_mae
2016-01-05,569.94,0.0,0.0,0.16788541798616685,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-06,574.57,0.0,0.0,0.19215076973636314,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-07,565.36,0.0,0.0,0.1751563177918199,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-08,560.05,0.0,0.0,0.193457686929907,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-11,557.87,0.0,0.0,0.19098957216541532,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-12,564.26,0.0,0.0,0.18349727351030323,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-13,560.37,0.0,0.0,0.17413178644223318,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-14,553.0301,0.0,0.0,0.16020511702430218,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,543.04,0.0,0.0,0.1712508898458631,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-18,526.37,0.0,0.0,0.1862378044140752,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,535.77,0.0,0.0,0.22340012697512907,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-20,529.44,0.0,0.0,0.20694761718317073,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-21,521.88,0.0,0.0,0.20823363938131997,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,522.24,0.0,0.0,0.21094399132453726,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,542.35,0.0,0.0,0.19204659147841782,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,537.73,0.0,0.0,0.19120687583395132,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,542.69,0.0,0.0,0.18959659622054242,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28,539.47,0.0,0.0,0.17682502664707417,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,545.25,0.0,0.0,0.16697352042096408,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,540.56,0.0,0.0,0.15678827886327926,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,536.45,0.0,0.0,0.16270259713227836,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-03,539.07,0.0,0.0,0.1598013996707923,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-04,542.15,0.0,0.0,0.14690200236925055,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-05,544.75,0.0,0.0,0.13864579754716524,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-15,543.79,0.0,0.0,0.13111321614878504,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-16,548.05,0.0,0.0,0.12608916963224637,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-17,547.05,0.0,0.0,0.12249033849017486,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-18,552.49,0.0,0.0,0.11547766582321446,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-19,554.0301,0.0,0.0,0.11374350470837549,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22,560.71,0.0,0.0,0.10969305216206732,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-23,561.2801,0.0,0.0,0.11046710899441983,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-24,568.04,0.0,0.0,0.11266931841492488,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-25,562.82,0.0,0.0,0.11000268703565898,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-26,566.11,0.0,0.0,0.12009430061073247,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,559.37,0.0,0.0,0.11436359463752535,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,561.56,0.0,0.0,0.10765941734321613,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-02,570.18,0.0,0.0,0.10218001652124777,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-03,570.39,0.0,0.0,0.10082510213591846,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-04,573.65,0.0,0.0,0.09992440153847387,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-07,576.2,0.0,0.0,0.09832498169717709,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-08,574.71,0.0,0.0,0.09460539005044272,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-09,571.71,0.0,0.0,0.09301407359827826,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-10,575.91,0.0,0.0,0.09029231831642234,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-11,577.26,0.0,0.0,0.09319103408458043,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-14,577.98,0.0,0.0,0.09032933667665478,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-15,574.04,0.0,0.0,0.08641643617428803,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-16,577.07,0.0,0.0,0.10402174737782419,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-17,579.26,0.0,0.0,0.09956311639487464,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-18,575.82,0.0,0.0,0.09937728665057732,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-21,572.27,0.0,0.0,0.1059797777435797,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-22,570.91,0.0,0.0,0.11626558395197936,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-23,574.71,0.0,0.0,0.1111731167962816,0.0,0.0,0.0,0.0,0.0,0.0
