timestamp,vnindex_close,vn100_ew_close,composite_health,health_signal,volatility,agreement,market_cycle,w_market_cycle,contrib_market_cycle,market_trend,w_market_trend,contrib_market_trend,market_breadth,w_market_breadth,contrib_market_breadth,market_volatility,w_market_volatility,contrib_market_volatility
2016-01-05,569.94,99.22351481152965,0.0,0.0,0.16788541798616685,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
2016-01-06,574.57,99.79084348381335,0.0,0.0,0.19215076973636314,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
2016-01-07,565.36,98.05583414955488,0.0,0.0,0.1751563177918199,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
2016-01-08,560.05,97.15308853674654,0.0,0.0,0.193457686929907,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
2016-01-11,557.87,96.53235858134292,0.0,0.0,0.19098957216541532,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
2016-01-12,564.26,98.13808527318758,0.0,0.0,0.18349727351030323,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
2016-01-13,560.37,98.00548303029571,0.0,0.0,0.17413178644223318,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
2016-01-14,553.0301,96.760132246172,0.0,0.0,0.16020511702430218,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
2016-01-15,543.04,95.25798707898363,0.0,0.0,0.1712508898458631,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
2016-01-18,526.37,92.73077686908996,0.0,0.0,0.1862378044140752,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
