feature,w1_score,w1_normalized,status,std
f4_fib_retracement,0.4888327208678183,0.4739447111544424,Kept,1.031412967299733
f2_bb_position,0.47482580213287434,0.4575044302371773,Dropped,1.037860555550724
f2_dist_short_ma,0.43658396051993265,0.4260022611659702,Dropped,1.0248395379991653
f2_sar_dist,0.43175998811004124,0.42822961923248104,Kept,1.008244102507173
f3_atr_stop_dist,0.42238845244807255,0.4095352157020288,Kept,1.0313849365164132
f2_rsi,0.4022835417695263,0.3883804259717696,Dropped,1.0357976737961745
f1_dist_long_ma,0.38818732390507255,0.3096511468684431,Kept,1.253627922359984
f3_mae,0.37910663720923493,0.37514533012666695,Kept,1.0105593932922754
f4_vwap_dist,0.37502927695917654,0.2772612566205601,Dropped,1.3526205627510905
f1_vol_adj_ret,0.36090684883147317,0.33967952312954464,Kept,1.0624922147392235
f1_macd_hist,0.35739589909521896,0.33989471775669244,Dropped,1.0514900068292747
f3_swing_low_dist,0.3556088872932316,0.3444158321519267,Kept,1.0324986661367166
f3_expected_move_ratio,0.3353124747808366,0.39876078264773746,Kept,0.84088628915409
f3_risk_adj_trend,0.3199277163231601,0.303379927515762,Dropped,1.0545447714451655
f4_donchian_break,0.27896556726822996,0.27103147157697494,Kept,1.029273706278799
f1_hh_hl,0.27896556726822996,0.27103147157697494,Dropped,1.029273706278799
f1_ma_slope,0.2716740515442569,0.2604784881393923,Kept,1.0429807600805538
f2_mom_divergence,0.24234918080251658,0.23694235364390023,Kept,1.0228191670904994
f4_market_regime,0.2317492010400833,0.21386916229216188,Kept,1.0836026968838823
f3_kelly_proxy,0.2314765007548642,0.20264539036640056,Kept,1.1422737045058586
f4_breakout_level,0.22921695440690187,0.22615076121138508,Kept,1.0135581820688668
f3_downside_vol,0.21294296037525362,0.20157996405084988,Kept,1.0563696713505581
f1_ma_alignment,0.16835949630996097,0.1485876037990339,Kept,1.1330655586698115
f3_hist_vol_rank,0.1298312570294132,0.11921683807929533,Kept,1.089034561905239
f2_time_since_breakout,0.1191678513668111,0.107406824182832,Kept,1.1094998131958453
f2_atr_expansion,0.11811748969816765,0.10596293347090217,Kept,1.1147057355731207
f4_vol_contraction,0.11647878733262726,0.10555516533486789,Dropped,1.1034873278167372
f1_r2_trend,0.11233377558293037,0.11115941034491816,Kept,1.0105646947421567
f4_confluence,0.1115691165061755,0.10467517421877746,Kept,1.0658603373612665
f3_breakout_proj,0.11128647915900358,0.10435208480467678,Kept,1.0664519004800566
f1_vol_confirm,0.10747127771522014,0.10742432277697418,Kept,1.0004370978287984
f2_hurst_proxy,0.09360011233757543,0.07811334036688787,Kept,1.1982602702425509
f2_rolling_skew,0.08666001609449225,0.07742484448471475,Kept,1.1192791754538263
f4_pullback_ma,0.08332860169920857,0.07966085045910254,Dropped,1.046042079879489
f3_var_5pct,0.07725205102392074,0.06363710853916013,Kept,1.2139465918125811
f1_rel_strength,0.057273367723968516,0.051291946263870625,Kept,1.1166152173155326
f2_vol_climax,0.0423683313913288,0.053740945249471435,Kept,0.7883808368954118
f1_adx,0.04179679322999605,0.04073865272607118,Kept,1.0259738708356376
f4_rsi_reset,0.0365330611728889,0.03609997584869145,Kept,1.011996831410987
f4_vol_confirmation,0.023540684722403643,0.06636616154795515,Kept,0.3547091495625148
